vehicle_model,vehicle_brand,manufacturing_year,repair_history,odometer_reading,customer_concerns,location,date,required_service
Model X,Tesla,2018,"Oil change, brake pad replacement",50000,"Strange noise from engine",USA,2024-09-01,"Engine inspection, Oil change"
Corolla,Toyota,2015,"Tire rotation, battery replacement",80000,"Steering feels stiff",Canada,2024-08-15,"Steering check, Tire alignment"
Civic,Honda,2012,"Brake fluid replacement, radiator repair",120000,"Vibration at high speed",UK,2024-07-30,"Brake system check, Suspension check"
F-150,Ford,2020,"Oil change, air filter replacement",30000,"Reduced acceleration",USA,2024-06-20,"Fuel system inspection"
Camry,Toyota,2017,"Battery replacement, brake pad change",65000,"Brake pedal feels soft",Australia,2024-10-01,"Brake system inspection"
Model 3,Tesla,2019,"Tire rotation",40000,"Tire wear uneven",Germany,2024-09-10,"Tire alignment, Tire replacement"
Accord,Honda,2014,"Engine repair, oil leak fix",90000,"Engine light on",USA,2024-08-25,"Engine diagnostics, Oil leak fix"
Explorer,Ford,2016,"Transmission repair",110000,"Delayed shifting",USA,2024-07-18,"Transmission check"
RAV4,Toyota,2018,"Brake pad change",55000,"Squeaking noise when braking",Canada,2024-09-05,"Brake pad replacement"
Escape,Ford,2017,"Oil change, air filter replacement",75000,"Low fuel efficiency",UK,2024-08-01,"Fuel system inspection, Oil change"
CR-V,Honda,2021,"No repairs",20000,"None",Australia,2024-06-05,"Standard inspection, Oil change"
Model S,Tesla,2020,"Battery replacement",35000,"Battery range reduced",Germany,2024-08-12,"Battery diagnostics"
Tacoma,Toyota,2013,"Transmission fluid replacement",95000,"Gears slipping",Canada,2024-10-07,"Transmission check"
Mustang,Ford,2019,"Oil change, brake pad change",45000,"Brake feels unresponsive",USA,2024-07-22,"Brake system check"
Pilot,Honda,2015,"Radiator repair",100000,"Engine overheating",USA,2024-08-30,"Cooling system inspection"
Ranger,Ford,2012,"Suspension repair, oil change",135000,"Rough ride",UK,2024-09-20,"Suspension check, Tire alignment"
Highlander,Toyota,2016,"Battery replacement",85000,"Slow engine start",Canada,2024-09-15,"Battery diagnostics, Starter system check"
Odyssey,Honda,2018,"Tire rotation, oil change",60000,"Tire wear uneven",Australia,2024-10-02,"Tire alignment"
Bronco,Ford,2021,"No repairs",18000,"None",Nigeria,2024-07-01,"Standard inspection"
Model X,Tesla,2018,"Oil change",59000,"Strange noise from engine",Ghana,2024-09-01,"Engine inspection, Oil change"
Corolla,Toyota,2015,"battery replacement",80000,"Steering feels stiff",Canada,2024-08-15,"Steering check, Tire alignment"
Civic,Honda,2012,"Brake fluid replacement",120000,"Vibration at high speed",UK,2024-07-30,"Brake system check, Suspension check"
F-150,Ford,2020,"Oil change, air filter replacement",30000,"Reduced acceleration",USA,2024-06-20,"Fuel system inspection"
Camry,Toyota,2017,"Battery replacement, brake pad change",65000,"Brake pedal feels soft",Australia,2024-10-01,"Brake system inspection"
Model 3,Tesla,2019,"Tire rotation",40000,"Tire wear uneven",Germany,2024-09-10,"Tire alignment, Tire replacement"
Accord,Honda,2014,"Engine repair, oil leak fix",90000,"Engine light on",USA,2024-08-25,"Engine diagnostics, Oil leak fix"
Explorer,Ford,2016,"Transmission repair",150000,"Delayed shifting",Japan,2024-07-18,"Transmission check"
RAV4,Toyota,2018,"Brake pad change",55000,"Squeaking noise when braking",Canada,2024-09-05,"Brake pad replacement"
Escape,Ford,2017,"Oil change, air filter replacement",75000,"Low fuel efficiency",UK,2024-08-01,"Fuel system inspection, Oil change"
CR-V,Honda,2021,"No repairs",20000,"None",Australia,2024-06-05,"Standard inspection, Oil change"
Model S,Tesla,2020,"Battery replacement",35000,"Battery range reduced",Germany,2024-08-12,"Battery diagnostics"
Tacoma,Toyota,2013,"Transmission fluid replacement",95000,"Gears slipping",Canada,2024-10-07,"Transmission check"
Mustang,Ford,2019,"Oil change, brake pad change",45000,"Brake feels unresponsive",USA,2024-07-22,"Brake system check"
Pilot,Honda,2015,"Radiator repair",100000,"Engine overheating",USA,2024-08-30,"Cooling system inspection"
Ranger,Ford,2012,"Suspension repair, oil change",135000,"Rough ride",UK,2024-09-20,"Suspension check, Tire alignment"
Highlander,Toyota,2016,"Battery replacement",85000,"Slow engine start",Canada,2024-09-15,"Battery diagnostics, Starter system check"
Odyssey,Honda,2018,"Tire rotation, oil change",60000,"Tire wear uneven",Australia,2024-10-02,"Tire alignment"
Bronco,Ford,2021,"No repairs",25000,"None",USA,2024-07-01,"Standard inspection"
Sentra,Nissan,2016,"Brake pad change",67000,"Squealing noise",Canada,2024-09-28,"Brake pad replacement"
Jetta,Volkswagen,2014,"Oil change",90000,"Check engine light on",USA,2024-10-04,"Engine diagnostics"
Silverado,Chevrolet,2017,"Transmission fluid replacement",62000,"Difficulty shifting gears",USA,2024-08-22,"Transmission check"
CX-5,Mazda,2019,"Tire rotation",35000,"Tire wear uneven",Australia,2024-09-07,"Tire alignment"
Altima,Nissan,2015,"Brake fluid replacement",74000,"Brake pedal feels spongy",Germany,2024-08-16,"Brake system inspection"
Golf,Volkswagen,2020,"No repairs",18000,"None",UK,2024-06-22,"Standard inspection"
Cherokee,Jeep,2013,"Radiator replacement",115000,"Engine overheating",Canada,2024-07-19,"Cooling system inspection"
Elantra,Hyundai,2017,"Tire replacement",45000,"Steering feels loose",Australia,2024-08-30,"Steering system check"
3,Mazda,2016,"Brake pad replacement",76000,"Brake pedal vibration",USA,2024-09-11,"Brake system check"
Fusion,Ford,2014,"Oil change, tire rotation",95000,"Low tire pressure",Canada,2024-09-05,"Tire inspection, Oil change"
Qashqai,Nissan,2019,"Battery replacement",32000,"Car won't start",UK,2024-07-15,"Battery check"
Impala,Chevrolet,2012,"Engine oil leak repair",130000,"Engine leaking oil",USA,2024-09-22,"Oil leak fix, Engine check"
Focus,Ford,2018,"Tire rotation",48000,"Tires making noise",Australia,2024-09-01,"Tire alignment"
Outback,Subaru,2020,"No repairs",20000,"None",Canada,2024-10-05,"Standard inspection"
Patriot,Jeep,2015,"Brake pad change",78000,"Squeaky brakes",Germany,2024-08-21,"Brake pad replacement"
Sportage,Kia,2018,"Oil change, air filter replacement",62000,"Low fuel efficiency",Australia,2024-08-25,"Fuel system inspection"
Impreza,Subaru,2017,"Tire rotation",55000,"Tire wear uneven",Canada,2024-09-18,"Tire alignment"
Durango,Dodge,2013,"Engine repair",128000,"Engine misfiring",USA,2024-10-03,"Engine diagnostics"
Sorento,Kia,2016,"Brake pad replacement",72000,"Brake pedal feels spongy",Germany,2024-09-02,"Brake system inspection"
Highlander,Toyota,2018,"Battery replacement",50000,"Slow start",Australia,2024-08-17,"Battery diagnostics"
Tundra,Toyota,2015,"Transmission fluid replacement",85000,"Transmission slipping",Canada,2024-09-24,"Transmission check"
Optima,Kia,2017,"Oil change",60000,"Engine noise",Germany,2024-07-26,"Engine inspection, Oil change"
Wrangler,Jeep,2021,"No repairs",15000,"None",USA,2024-09-19,"Standard inspection"
Crosstrek,Subaru,2019,"Tire replacement",38000,"Tires wearing unevenly",Australia,2024-09-04,"Tire alignment"
Malibu,Chevrolet,2013,"Brake pad change",98000,"Brake pedal vibration",Canada,2024-08-12,"Brake system check"
Seltos,Kia,2020,"No repairs",27000,"None",Germany,2024-07-13,"Standard inspection"
Santa Fe,Hyundai,2016,"Battery replacement",68000,"Battery draining quickly",Canada,2024-09-30,"Battery diagnostics"
Explorer,Ford,2017,"Brake fluid replacement",74000,"Brake light on",USA,2024-08-27,"Brake system inspection"
Rogue,Nissan,2018,"Oil change, tire rotation",51000,"Tire wear",Germany,2024-09-06,"Tire alignment"
CX-9,Mazda,2020,"No repairs",23000,"None",Canada,2024-09-08,"Standard inspection"
Sierra,GMC,2015,"Transmission repair",110000,"Transmission slipping",USA,2024-07-23,"Transmission check"
Forester,Subaru,2014,"Oil leak repair",125000,"Oil puddle under car",Australia,2024-09-27,"Oil leak fix"
Equinox,Chevrolet,2018,"Brake pad replacement",52000,"Squealing brakes",Canada,2024-08-03,"Brake pad replacement"
Grand Cherokee,Jeep,2020,"No repairs",29000,"None",Germany,2024-08-18,"Standard inspection"
Tucson,Hyundai,2017,"Oil change",58000,"Check engine light on",UK,2024-09-16,"Engine diagnostics"
Challenger,Dodge,2019,"Tire replacement",35000,"Tire wear",USA,2024-08-08,"Tire alignment"
Pilot,Honda,2016,"Radiator replacement",99000,"Overheating",Canada,2024-09-13,"Cooling system inspection"
Compass,Jeep,2021,"No repairs",16000,"None",Germany,2024-09-23,"Standard inspection"
Ranger,Ford,2018,"Brake pad change",64000,"Squeaky brakes",Australia,2024-09-09,"Brake pad replacement"
Accord,Honda,2017,"Battery replacement",72000,"Slow start",USA,2024-08-14,"Battery diagnostics"
Yaris,Toyota,2015,"Oil change, tire rotation",88000,"Tires wearing unevenly",Canada,2024-09-14,"Tire alignment"
Armada,Nissan,2016,"Brake fluid replacement",92000,"Brake light on",USA,2024-07-29,"Brake system check"
Model Y,Tesla,2021,"No repairs",21000,"None",Germany,2024-07-07,"Standard inspection"
Cruze,Chevrolet,2013,"Oil leak repair",110000,"Engine leaking oil",Canada,2024-09-26,"Oil leak fix, Engine inspection"
Pathfinder,Nissan,2017,"Transmission repair",75000,"Delayed shifting",Australia,2024-09-12,"Transmission check"
Ascent,Subaru,2019,"No repairs",31000,"None",Canada,2024-10-08,"Standard inspection"
Telluride,Kia,2020,"Brake pad replacement",39000,"Squealing noise when braking",USA,2024-09-17,"Brake pad replacement"
Corolla,Toyota,2014,"Battery replacement",95000,"Car won't start",Canada,2024-08-19,"Battery diagnostics"
